Skill Category,Jobs,Pct Jobs,Count / % Jobs,Representative Codes,Example Evidence
Programming,3255,96.6,"3,255 / 96.6%","software development, Python programming, Java programming, React, backend development",“What You’ll Do  Own the software solutions that are deployed to customersWrite code to improve products”
Product / Business Understanding,2912,86.4,"2,912 / 86.4%","stakeholder communication, requirements analysis, user experience design, product development, customer service",“quality project deliverables (Business / IT Solution) Lead business requirement discussion with business stakeholders”
Collaboration / Teamwork,2900,86.1,"2,900 / 86.1%","collaboration, teamwork, cross-functional collaboration, team collaboration, cross-functional teamwork",“You will have the opportunity to part of Development of market leading products in the Capital Market  We are made up of high-performing teams that meet in person to learn and collaborate as needed.”
Architecture / System Design,2701,80.2,"2,701 / 80.2%","performance optimization, software design, scalability, software architecture, system design","“The ideal candidate will be responsible for designing, implementing, and maintaining robust and scalable middleware solutions, ensuring high availability, performance, and security.”"
Problem Solving / Analytical Thinking,2479,73.6,"2,479 / 73.6%","problem solving, debugging, troubleshooting, attention to detail, analytical skills",“Mission Software Engineers solve technical challenges of operational scenarios while owning the end-to-end delivery of winning capabilities such as Counter Intrusion”
Communication,2355,69.9,"2,355 / 69.9%","communication skills, stakeholder communication, written communication, technical documentation, verbal communication","“Strong communication and collaboration skills, with a team-oriented mindset.”"
Data / AI / Analytics,2354,69.9,"2,354 / 69.9%","SQL, data analysis, machine learning, artificial intelligence, data modeling",“relational database (Oracle /DB2/SQL)”
Backend / API Development,2299,68.2,"2,299 / 68.2%","backend development, API development, microservices, backend system maintenance, API integration",“Familiarity with foundational backend development technologies and architecture.”
Testing / Quality Assurance,2136,63.4,"2,136 / 63.4%","software testing, quality assurance, unit testing, automated testing, integration testing",“This team plays a critical role in ensuring the reliability and stability of our highest-performance Inference server hardware and software.”
Frontend / UI Development,2093,62.1,"2,093 / 62.1%","React, front-end development, web applications, CSS, JavaScript frameworks",“What You’ll Need:  Experience: 7+ years of hands-on backend engineering experience using React”
Security / Compliance,1640,48.7,"1,640 / 48.7%","security, regulatory compliance, security best practices, authentication, compliance","“The ideal candidate will be responsible for designing, implementing, and maintaining robust and scalable middleware solutions, ensuring high availability, performance, and security.”"
Leadership / Mentoring,1471,43.7,"1,471 / 43.7%","mentoring, leadership, technical leadership, team leadership, coaching","“At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more.”"
