Subtheme Pair,Parent Themes,Subtheme A,Subtheme B,Parent Theme A,Parent Theme B,Number of Job Postings,% Jobs
General Professional Skills and Soft Skills + Software Development Process and Practices,"Product, Project, and Professional Skills + Software Engineering and Architecture",General Professional Skills and Soft Skills,Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,2426,72.0
General Professional Skills and Soft Skills + Software Architecture and System Design,"Product, Project, and Professional Skills + Software Engineering and Architecture",General Professional Skills and Soft Skills,Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,2200,65.3
Backend and API Development + General Professional Skills and Soft Skills,"Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,General Professional Skills and Soft Skills,Application and Web Development,"Product, Project, and Professional Skills",2115,62.8
General Professional Skills and Soft Skills + Programming Languages and Paradigms,"Product, Project, and Professional Skills + Software Engineering and Architecture",General Professional Skills and Soft Skills,Programming Languages and Paradigms,"Product, Project, and Professional Skills",Software Engineering and Architecture,2004,59.5
General Professional Skills and Soft Skills + Testing and Quality Assurance,"Product, Project, and Professional Skills + Software Engineering and Architecture",General Professional Skills and Soft Skills,Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,1882,55.9
DevOps and CI/CD + General Professional Skills and Soft Skills,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",DevOps and CI/CD,General Professional Skills and Soft Skills,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",1766,52.4
Backend and API Development + Software Development Process and Practices,Application and Web Development + Software Engineering and Architecture,Backend and API Development,Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,1732,51.4
Business and Product Skills + Software Development Process and Practices,"Product, Project, and Professional Skills + Software Engineering and Architecture",Business and Product Skills,Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,1690,50.2
Backend and API Development + Software Architecture and System Design,Application and Web Development + Software Engineering and Architecture,Backend and API Development,Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,1671,49.6
Frontend Web Development + General Professional Skills and Soft Skills,"Application and Web Development + Product, Project, and Professional Skills",Frontend Web Development,General Professional Skills and Soft Skills,Application and Web Development,"Product, Project, and Professional Skills",1660,49.3
Cloud Platforms and Services + General Professional Skills and Soft Skills,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Cloud Platforms and Services,General Professional Skills and Soft Skills,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",1604,47.6
Business and Product Skills + Software Architecture and System Design,"Product, Project, and Professional Skills + Software Engineering and Architecture",Business and Product Skills,Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,1503,44.6
DevOps and CI/CD + Software Development Process and Practices,"Cloud, DevOps, and Security + Software Engineering and Architecture",DevOps and CI/CD,Software Development Process and Practices,"Cloud, DevOps, and Security",Software Engineering and Architecture,1479,43.9
Data Platforms and Databases + General Professional Skills and Soft Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Platforms and Databases,General Professional Skills and Soft Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",1443,42.8
Backend and API Development + Programming Languages and Paradigms,Application and Web Development + Software Engineering and Architecture,Backend and API Development,Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,1440,42.7
Project Management and Agile Practices + Software Development Process and Practices,"Product, Project, and Professional Skills + Software Engineering and Architecture",Project Management and Agile Practices,Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,1428,42.4
Backend and API Development + DevOps and CI/CD,"Application and Web Development + Cloud, DevOps, and Security",Backend and API Development,DevOps and CI/CD,Application and Web Development,"Cloud, DevOps, and Security",1417,42.1
Backend and API Development + Business and Product Skills,"Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,Business and Product Skills,Application and Web Development,"Product, Project, and Professional Skills",1399,41.5
DevOps and CI/CD + Software Architecture and System Design,"Cloud, DevOps, and Security + Software Engineering and Architecture",DevOps and CI/CD,Software Architecture and System Design,"Cloud, DevOps, and Security",Software Engineering and Architecture,1395,41.4
Frontend Web Development + Software Development Process and Practices,Application and Web Development + Software Engineering and Architecture,Frontend Web Development,Software Development Process and Practices,Application and Web Development,Software Engineering and Architecture,1357,40.3
Documentation and Communication + Software Development Process and Practices,"Product, Project, and Professional Skills + Software Engineering and Architecture",Documentation and Communication,Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,1340,39.8
Backend and API Development + Testing and Quality Assurance,Application and Web Development + Software Engineering and Architecture,Backend and API Development,Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,1337,39.7
Business and Product Skills + Testing and Quality Assurance,"Product, Project, and Professional Skills + Software Engineering and Architecture",Business and Product Skills,Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,1319,39.2
Cloud Platforms and Services + Software Development Process and Practices,"Cloud, DevOps, and Security + Software Engineering and Architecture",Cloud Platforms and Services,Software Development Process and Practices,"Cloud, DevOps, and Security",Software Engineering and Architecture,1315,39.0
Business and Product Skills + Programming Languages and Paradigms,"Product, Project, and Professional Skills + Software Engineering and Architecture",Business and Product Skills,Programming Languages and Paradigms,"Product, Project, and Professional Skills",Software Engineering and Architecture,1304,38.7
"General Professional Skills and Soft Skills + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security",General Professional Skills and Soft Skills,"Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",1298,38.5
Backend and API Development + Cloud Platforms and Services,"Application and Web Development + Cloud, DevOps, and Security",Backend and API Development,Cloud Platforms and Services,Application and Web Development,"Cloud, DevOps, and Security",1297,38.5
Cloud Platforms and Services + Software Architecture and System Design,"Cloud, DevOps, and Security + Software Engineering and Architecture",Cloud Platforms and Services,Software Architecture and System Design,"Cloud, DevOps, and Security",Software Engineering and Architecture,1296,38.5
Frontend Web Development + Software Architecture and System Design,Application and Web Development + Software Engineering and Architecture,Frontend Web Development,Software Architecture and System Design,Application and Web Development,Software Engineering and Architecture,1282,38.1
Backend and API Development + Data Platforms and Databases,"Application and Web Development + Data, AI, and Analytics",Backend and API Development,Data Platforms and Databases,Application and Web Development,"Data, AI, and Analytics",1274,37.8
Project Management and Agile Practices + Software Architecture and System Design,"Product, Project, and Professional Skills + Software Engineering and Architecture",Project Management and Agile Practices,Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,1250,37.1
