Profile Name,job_id,Matched Themes,Matched Subthemes,Example Sentence
Product-Oriented Software Engineer,5,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Analytics and Business Intelligence; Backend and API Development; Business and Product Skills; Data Platforms and Databases; DevOps and CI/CD; General Professional Skills and Soft Skills; Project Management and Agile Practices; Software Development Process and Practices; Testing and Quality Assurance,"At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more."
Product-Oriented Software Engineer,6,"Application and Web Development; Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",AI/ML and LLMs; Backend and API Development; Business and Product Skills; Data Platforms and Databases; Documentation and Communication; Frontend Web Development; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Project Management and Agile Practices; Software Development Process and Practices; UI/UX Design and Accessibility,"[Quora is a privately held, 'remote-first' company."
Product-Oriented Software Engineer,8,"Cloud, DevOps, and Security; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Cloud Platforms and Services; Documentation and Communication; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Programming Languages and Paradigms; Project Management and Agile Practices; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",MongoDB is seeking highly technical candidates for a role on the Server Security team as a Staff Software Engineer.
Product-Oriented Software Engineer,9,"Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture",Analytics and Business Intelligence; Business and Product Skills; Documentation and Communication; General Professional Skills and Soft Skills; Software Architecture and System Design; Software Development Process and Practices,"Overview  Systems Planning and Analysis, Inc."
Product-Oriented Software Engineer,12,"Application and Web Development; Cloud, DevOps, and Security; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Cloud Platforms and Services; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; UI/UX Design and Accessibility","Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages."
Product-Oriented Software Engineer,13,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Backend and API Development; Business and Product Skills; Data Engineering and Big Data; Data Platforms and Databases; DevOps and CI/CD; Domain and Industry Knowledge; E-commerce, CRM, ERP, and Enterprise Platforms; General Professional Skills and Soft Skills; Project Management and Agile Practices; Scripting and Automation Tools; Security, Authentication, and Compliance; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance","At BBH, Partnership is more than a form of ownership—it’s our approach to business and relationships."
Product-Oriented Software Engineer,14,"Data, AI, and Analytics; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Business and Product Skills; Domain and Industry Knowledge; Education, Degrees, and Certifications; General Professional Skills and Soft Skills; Project Management and Agile Practices; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance","Overview  Carollo Engineers is an internationally recognized civil and environmental engineering firm that specializes in the planning, design, and construction of water and wastewater facilities."
Product-Oriented Software Engineer,15,"Application and Web Development; Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Business and Product Skills; Data Engineering and Big Data; DevOps and CI/CD; Domain and Industry Knowledge; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Software Architecture and System Design; Software Development Process and Practices; Testing and Quality Assurance; UI/UX Design and Accessibility","About Tubi:  Boldly built for every fandom, Tubi is a free streaming service that entertains over 100 million monthly active users."
Product-Oriented Software Engineer,16,"Cloud, DevOps, and Security; Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","Analytics and Business Intelligence; Containers and Orchestration; DevOps and CI/CD; Documentation and Communication; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Monitoring, Observability, and SRE; Programming Languages and Paradigms; Scripting and Automation Tools; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",About Etched  Etched is building the world’s first AI inference system purpose-built for transformers - delivering over 10x higher performance and dramatically lower cost and latency than a B200.
Product-Oriented Software Engineer,18,"Data, AI, and Analytics; Infrastructure, Systems, and Reliability; Product, Project, and Professional Skills; Software Engineering and Architecture","AI/ML and LLMs; Analytics and Business Intelligence; Business and Product Skills; Data Engineering and Big Data; Documentation and Communication; Embedded, Hardware, and IoT; General Professional Skills and Soft Skills; Software Architecture and System Design; Software Development Process and Practices; Systems, Networking, and Administration; Testing and Quality Assurance",Anduril Industries is a defense technology company with a mission to transform U.S.
